# RUNRANGE	datasetpath	DATASETNAME	STORAGE_ELEMENT	USER_REMOTE_DIR_BASE	VALIDITY	PERIOD
# RUNRANGE used to produce the sandbox
# DATASETPATH
# DATASETNAME: short name to indicated the dataset, this name is given to the directory in EOS
# STORAGE_ELEMENT: caf, T2_IT_Rome
190456-193621	/SingleElectron/Run2012A-WElectron-13Jul2012-v1/USER	SingleElectron-WSkim-RUN2012A-13Jul-v1	caf	group/alca_ecalcalib/ecalelf/alcaraw	VALID	RUN2012ABCD,Cal_Nov2012,Cal_Dic2012,RUN2012AB,RUN2012ABC,
193834-196531	/SingleElectron/Run2012B-WElectron-13Jul2012-v1/USER	SingleElectron-WSkim-RUN2012B-13Jul-v1	caf	group/alca_ecalcalib/ecalelf/alcaraw	VALID	RUN2012ABCD,Cal_Nov2012,Cal_Dic2012,RUN2012AB,RUN2012ABC,
198111-198913	/SingleElectron/Run2012C-WElectron-PromptSkim-v2/USER	SingleElectron-WSkim-RUN2012C-v2	caf	group/alca_ecalcalib/ecalelf/alcaraw	VALID	RUN2012ABCD,Cal_Nov2012,Cal_Dic2012,RUN2012C,RUN2012ABC,
198934-203755	/SingleElectron/Run2012C-WElectron-PromptSkim-v3/USER	SingleElectron-WSkim-RUN2012C-v3	caf	group/alca_ecalcalib/ecalelf/alcaraw	VALID	RUN2012ABCD,RUN2012C,RUN2012ABC,
203756-208686	/SingleElectron/Run2012D-WElectron-PromptSkim-v1/USER	SingleElectron-WSkim-RUN2012D-v1	caf	group/alca_ecalcalib/ecalelf/alcaraw	VALID	RUN2012ABCD,RUN2012D
########################### Winter13 rereco for 2012 data
#
190645-193621	/DoubleElectron/Run2012A-ZElectron-22Jan2013-v1/RAW-RECO	DoubleElectron-ZSkim-RUN2012A-22Jan-v1	caf	group/alca_ecalcalib/ecalelf/alcaraw	VALID	RUN2012A,RUN2012AB,RUN2012ABC,RUN2012ABCD
193834-196531	/DoubleElectron/Run2012B-ZElectron-22Jan2013-v1/RAW-RECO	DoubleElectron-ZSkim-RUN2012B-22Jan-v1	caf	group/alca_ecalcalib/ecalelf/alcaraw	VALID	RUN2012B,RUN2012AB,RUN2012ABC,RUN2012ABCD
198022-203742	/DoubleElectron/Run2012C-ZElectron-22Jan2013-v1/RAW-RECO	DoubleElectron-ZSkim-RUN2012C-22Jan-v1	caf	group/alca_ecalcalib/ecalelf/alcaraw	VALID	RUN2012C,RUN2012ABC,RUN2012ABCD
